Longtitude,Latitude,intensity (mm/hr)
121.5125,25.2875,1.1
121.5375,25.2875,1.3
121.5500,25.2875,1.3
121.5625,25.2875,1.2
121.5750,25.2875,1.1
121.5875,25.2875,1.1
121.5000,25.2750,0.9
121.5125,25.2750,1.0
121.5250,25.2750,1.2
121.5375,25.2750,1.2
121.5500,25.2750,1.3
121.5625,25.2750,1.2
121.5750,25.2750,1.1
121.5875,25.2750,1.1
121.6000,25.2750,1.4
121.6125,25.2750,1.9
121.4875,25.2625,0.8
121.5000,25.2625,0.9
121.5125,25.2625,0.9
121.5250,25.2625,1.1
121.5375,25.2625,1.2
121.5500,25.2625,1.2
121.5625,25.2625,1.1
121.5750,25.2625,1.1
121.5875,25.2625,1.3
121.6000,25.2625,1.6
121.6125,25.2625,1.8
121.6250,25.2625,2.4
121.4750,25.2500,0.8
121.4875,25.2500,0.8
121.5000,25.2500,0.9
121.5125,25.2500,0.9
121.5250,25.2500,1.1
121.5375,25.2500,1.1
121.5500,25.2500,1.1
121.5625,25.2500,1.1
121.5750,25.2500,1.2
121.5875,25.2500,1.2
121.6000,25.2500,1.3
121.6125,25.2500,1.8
121.6250,25.2500,2.2
121.4500,25.2375,0.7
121.4625,25.2375,0.8
121.4750,25.2375,0.8
121.4875,25.2375,0.9
121.5000,25.2375,0.9
121.5125,25.2375,0.8
121.5250,25.2375,1.0
121.5375,25.2375,1.1
121.5500,25.2375,1.2
121.5625,25.2375,1.2
121.5750,25.2375,1.2
121.5875,25.2375,1.3
121.6000,25.2375,1.4
121.6125,25.2375,1.5
121.6250,25.2375,2.2
121.4500,25.2250,0.7
121.4625,25.2250,0.8
121.4750,25.2250,0.9
121.4875,25.2250,0.9
121.5000,25.2250,1.0
121.5125,25.2250,1.0
121.5250,25.2250,1.0
121.5375,25.2250,1.1
121.5500,25.2250,1.2
121.5625,25.2250,1.3
121.5750,25.2250,1.3
121.5875,25.2250,1.2
121.6000,25.2250,1.2
121.6125,25.2250,1.2
121.6250,25.2250,1.4
121.6375,25.2250,1.8
121.4375,25.2125,1.0
121.4500,25.2125,1.1
121.4625,25.2125,1.1
121.4750,25.2125,1.1
121.4875,25.2125,1.0
121.5000,25.2125,1.0
121.5125,25.2125,1.1
121.5250,25.2125,1.3
121.5375,25.2125,1.4
121.5500,25.2125,1.4
121.5625,25.2125,1.4
121.5750,25.2125,1.3
121.5875,25.2125,1.2
121.6000,25.2125,1.2
121.6125,25.2125,1.2
121.6250,25.2125,1.1
121.6375,25.2125,1.2
121.6500,25.2125,1.4
121.4250,25.2000,1.1
121.4375,25.2000,1.2
121.4500,25.2000,1.3
121.4625,25.2000,1.2
121.4750,25.2000,1.2
121.4875,25.2000,1.2
121.5000,25.2000,1.1
121.5125,25.2000,1.3
121.5250,25.2000,1.6
121.5375,25.2000,1.6
121.5500,25.2000,1.6
121.5625,25.2000,1.5
121.5750,25.2000,1.3
121.5875,25.2000,1.3
121.6000,25.2000,1.2
121.6125,25.2000,1.2
121.6250,25.2000,1.1
121.6375,25.2000,1.2
121.6500,25.2000,1.3
121.6625,25.2000,1.4
121.6750,25.2000,1.4
121.6875,25.2000,1.3
121.4125,25.1875,1.4
121.4250,25.1875,1.3
